query_id,question_type,n_required_documents,n_required_evidence_facts,condition,hit@1,hit@3,hit@4,hit@5,hit@10,evidence_recall@1,evidence_recall@3,evidence_recall@4,evidence_recall@5,evidence_recall@10,precision@1,precision@3,precision@4,precision@5,precision@10,mrr@1,mrr@3,mrr@4,mrr@5,mrr@10,map@1,map@3,map@4,map@5,map@10,ndcg@1,ndcg@3,ndcg@4,ndcg@5,ndcg@10,all_evidence_hit@1,all_evidence_hit@3,all_evidence_hit@4,all_evidence_hit@5,all_evidence_hit@10,doc_recall@1,doc_recall@3,doc_recall@4,doc_recall@5,doc_recall@10,first_relevant_rank,complete_evidence_rank
q00022,inference,3,4,baseline,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.75,1.0,1.0,0.75,0.6,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.7,1.0,1.0,0.8318724637288826,0.7227265726449519,0.8297197050122157,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1,
q00040,temporal,3,3,baseline,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,0.46927872602275644,0.46927872602275644,0.46927872602275644,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,
q00090,comparison,3,3,baseline,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.25,0.2,0.2,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0625,0.0625,0.14583333333333331,0.0,0.0,0.16812753627111746,0.16812753627111746,0.3071837157818931,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,
q00118,inference,2,2,baseline,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.25,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6428571428571428,1.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.8175295903539445,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,1,7
q00141,temporal,3,3,baseline,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,0.4,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.5,1.0,0.7653606369886217,0.6366824387328317,0.6366824387328317,0.6366824387328317,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,
q00189,temporal,2,2,baseline,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3333333333333333,0.25,0.4,0.2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.24444444444444446,0.24444444444444446,0.0,0.23463936301137822,0.23463936301137822,0.41618115554873086,0.41618115554873086,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3,5
q00215,inference,3,4,baseline,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,1.0,0.3333333333333333,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.25,0.25,1.0,0.46927872602275644,0.3903800499921017,0.3903800499921017,0.3903800499921017,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,
q00222,inference,3,3,baseline,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.25,0.2,0.2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1851851851851852,0.0,0.23463936301137822,0.23463936301137822,0.23463936301137822,0.37590633587120725,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,3,
q00232,temporal,2,2,baseline,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.4,0.2,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.08333333333333333,0.21666666666666667,0.21666666666666667,0.0,0.0,0.20210734650054757,0.38364913903790027,0.38364913903790027,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,4,5
q00349,inference,3,3,baseline,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.25,0.2,0.2,0.0,0.5,0.5,0.5,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.0,0.2960819109658652,0.2960819109658652,0.2960819109658652,0.4441228664487979,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2,
